Price;Beds;Baths;Sq Ft;State;Street;City;Zip;Lot Size;Garage Spots;Walkability
46000.0;3.230769230769231;1.6923076923076923;1418.3076923076924;;1921 E Bolivar Ave; Saint Francis;WI 53235;8,712 sq ft lot;;Car-dependent
280000.0;3.0;1.5;984.0;;4525 S Logan Ave; Milwaukee;WI 53207;5,227 sq ft lot;;Car-dependent
299900.0;5.0;2.0;1787.0;;3725 E Plankinton Ave #3727; Cudahy;WI 53110;3,484 sq ft lot;;Very walkable
280000.0;3.0;1.0;1344.0;;1106 E Holt Ave; Milwaukee;WI 53207;3,484 sq ft lot;;Somewhat walkable
369900.0;3.0;2.0;1636.0;;4550 S Quincy Ave; Milwaukee;WI 53207;6,098 sq ft lot;;Car-dependent
275000.0;3.230769230769231;1.6923076923076923;1418.3076923076924;;3630 E Barnard Ave; Cudahy;WI 53110;3,484 sq ft lot;;Very walkable
255000.0;4.0;2.5;1352.0;;3049 S Hanson Ave; Milwaukee;WI 53207;2,613 sq ft lot;2 garage spots;Very walkable
539000.0;4.0;3.0;2000.0;;2240 E Morgan Ave; Milwaukee;WI 53207;;;
131000.0;2.0;1.0;810.0;;3407 S Pine Ave #4; Milwaukee;WI 53207;;;
232400.0;2.0;1.0;714.0;;3139 S Brust Ave; Milwaukee;WI 53207;;;
349900.0;4.0;2.0;1814.0;;3530-30a E Layton Ave; Cudahy;WI 53110;;;
699000.0;7.0;4.5;3877.0;;18059 178th St; Tonganoxie;KS 66086;2.37 acre lot;3 garage spots;Car-dependent
412950.0;4.0;3.0;2087.0;;2710 E Locust Ct; Tonganoxie;KS 66086;8,880 sq ft lot;3 garage spots;Car-dependent
487000.0;4.0;3.0;2835.0;;2250 Valley View Dr; Tonganoxie;KS 66086;0.39 acre lot;3 garage spots;Car-dependent
302190.0;4.0;2.0;1496.0;;2194 Woodfield Dr; Tonganoxie;KS 66086;6,750 sq ft lot;2 garage spots;
199500.0;3.0;1.0;904.0;;120 Gould St; Tonganoxie;KS 66086;;;
